domain,type,whyRelevant,semrushStatus,notes
sleepfoundation.org,US publisher,Dominant informational sleep content in UK SERPs; product buying guides,unverified,Content-gap target for informational clusters
thesleepcharity.org.uk,UK charity,UK-specific sleep advice; strong trust signals,unverified,Check which UK question keywords it ranks for
sleepstation.org.uk,UK CBT-I provider,Ranks for insomnia and waking-at-night queries in UK,unverified,Informational blog + clinical service
nhs.uk,UK health service,Outranks everything for symptom queries,unverified,Not a competitor to beat; a source to cite. Use to see which queries are health-dominated
mind.org.uk,UK charity,Sleep problems and anxiety at night,unverified,Anxiety/mental-health angle keywords
sleepio.com (Big Health),UK digital CBT-I,Informational content on insomnia,unverified,
tomsguide.com (sleep section),Publisher,UK-facing mattress/pillow/sleep product commercial content,unverified,Commercial cluster benchmark
which.co.uk (sleep and bedding),UK consumer body,Mattress, pillow, duvet buying guides,unverified,Commercial cluster benchmark
simbasleep.com (blog),UK mattress brand,Sleep advice blog ranking for UK how-to queries,unverified,Potential future affiliate partner
emma-sleep.co.uk (blog),UK mattress brand,Sleep advice blog,unverified,Potential future affiliate partner
silentnight.co.uk (sleep matters),UK bedding brand,Sleep advice content,unverified,
dreams.co.uk (sleep matters club),UK retailer,Large UK sleep content hub,unverified,Content-gap target
healthline.com (sleep),US publisher,Wide informational coverage,unverified,
verywellmind.com,US publisher,Anxiety at night and racing thoughts,unverified,Quiet-the-mind cluster benchmark
calm.com / headspace.com,Apps,Sleep meditation and sounds content,unverified,Relaxation and sleep sounds clusters
