id,product,brandExample,category,provider,linkType,asin,amazonUrl,affiliateTag,pagesUsedOn,pageCount,lastChecked,status
contoured-sleep-mask,Contoured (3D) sleep mask,Manta Sleep Mask,sleep-mask,amazon-uk,search,,https://www.amazon.co.uk/s?k=contoured%20sleep%20mask&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/falling-asleep/how-to-fall-asleep-faster/; /sleep-environment/how-to-make-bedroom-darker/; /sleep-habits/how-to-fix-your-sleep-schedule/; /sleep-habits/sleep-hygiene/; /sleep-products/best-sleep-masks-uk/; /waking-at-night/waking-up-at-3am/; /waking-at-night/waking-up-too-early/,7,,needs-verification
silk-sleep-mask,Silk sleep mask,Mulberry silk eye masks (various brands),sleep-mask,amazon-uk,search,,https://www.amazon.co.uk/s?k=silk%20sleep%20mask&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/falling-asleep/bedtime-routine-for-adults/; /sleep-habits/how-to-fix-your-sleep-schedule/; /sleep-habits/sleep-hygiene/; /sleep-products/best-sleep-masks-uk/,4,,needs-verification
weighted-sleep-mask,Weighted sleep mask,Gravity weighted sleep mask (and similar),sleep-mask,amazon-uk,search,,https://www.amazon.co.uk/s?k=weighted%20sleep%20mask&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/sleep-products/best-sleep-masks-uk/,1,,needs-verification
soft-foam-earplugs,Soft foam earplugs,Mack's Ultra Soft Foam Earplugs,earplugs,amazon-uk,search,,https://www.amazon.co.uk/s?k=foam%20earplugs%20for%20sleeping&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/sleep-environment/how-to-block-out-noise-at-night/; /sleep-products/best-earplugs-for-sleeping-uk/; /waking-at-night/waking-up-at-3am/; /waking-at-night/waking-up-in-the-middle-of-the-night/,4,,needs-verification
reusable-silicone-earplugs,Reusable silicone earplugs for sleep,Loop Quiet,earplugs,amazon-uk,search,,https://www.amazon.co.uk/s?k=Loop%20Quiet%20earplugs&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/sleep-products/best-earplugs-for-sleeping-uk/,1,,needs-verification
mouldable-wax-earplugs,Mouldable wax or silicone putty earplugs,Quies natural wax earplugs; Mack's Pillow Soft silicone,earplugs,amazon-uk,search,,https://www.amazon.co.uk/s?k=wax%20earplugs%20for%20sleeping&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/sleep-products/best-earplugs-for-sleeping-uk/,1,,needs-verification
fan-based-white-noise-machine,Fan-based white noise machine,Marpac / Yogasleep Dohm,white-noise,amazon-uk,search,,https://www.amazon.co.uk/s?k=Yogasleep%20Dohm%20white%20noise%20machine&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/falling-asleep/how-to-fall-asleep-faster/; /quiet-the-mind/cant-switch-off-at-night/; /sleep-environment/how-to-block-out-noise-at-night/; /sleep-products/best-white-noise-machines-uk/; /sleep-sounds/white-noise-for-sleep/; /waking-at-night/waking-up-in-the-middle-of-the-night/,6,,needs-verification
digital-sound-machine,Digital sound machine with multiple noise colours,LectroFan (Classic or Evo),white-noise,amazon-uk,search,,https://www.amazon.co.uk/s?k=LectroFan%20white%20noise%20machine&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/quiet-the-mind/racing-thoughts-at-night/; /sleep-products/best-white-noise-machines-uk/; /sleep-sounds/brown-noise-for-sleep/; /sleep-sounds/pink-noise-for-sleep/; /sleep-sounds/white-noise-for-sleep/,5,,needs-verification
portable-sound-machine,Portable rechargeable sound machine,Yogasleep Rohm or similar,white-noise,amazon-uk,search,,https://www.amazon.co.uk/s?k=portable%20white%20noise%20machine%20travel&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/sleep-products/best-white-noise-machines-uk/; /sleep-sounds/rain-sounds-for-sleep/; /sleep-sounds/white-noise-for-sleep/,3,,needs-verification
headband-sleep-headphones,Headband sleep headphones,SleepPhones; CozyPhones; Musicozy,sleep-headphones,amazon-uk,search,,https://www.amazon.co.uk/s?k=sleep%20headphones%20headband%20bluetooth&tag=REPLACE-WITH-YOUR-TAG-21,REPLACE-WITH-YOUR-TAG-21,/falling-asleep/things-to-do-before-bed/; /quiet-the-mind/how-to-calm-your-mind-before-bed/; /quiet-the-mind/how-to-stop-overthinking-at-night/; /quiet-the-mind/racing-thoughts-at-night/; /relaxation/breathing-exercises-for-sleep/; /relaxation/progressive-muscle-relaxation-for-sleep/; /sleep-environment/how-to-block-out-noise-at-night/; /sleep-products/best-sleep-headphones-uk/; /sleep-sounds/brown-noise-for-sleep/; /sleep-sounds/rain-sounds-for-sleep/; /waking-at-night/cant-get-back-to-sleep/,11,,needs-verification
