keyword,keywordType,volumeUK,kd,cpc,intentSemrush,serpFeatures,intentPlanned,cluster,proposedUrl,article,commercialPotential,tier,competitorRanking,status,lastResearched
racing thoughts at night,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/racing-thoughts-at-night/,Racing Thoughts at Night: Why It Happens and How to Calm Them,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
racing mind at night,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/racing-thoughts-at-night/,Racing Thoughts at Night: Why It Happens and How to Calm Them,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
how to stop racing thoughts at night,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/racing-thoughts-at-night/,Racing Thoughts at Night: Why It Happens and How to Calm Them,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
mind racing can't sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/racing-thoughts-at-night/,Racing Thoughts at Night: Why It Happens and How to Calm Them,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
how to stop overthinking at night,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-stop-overthinking-at-night/,How to Stop Overthinking at Night,yes: sleep-headphones,1,,draft-pending-validation,
overthinking at night,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-stop-overthinking-at-night/,How to Stop Overthinking at Night,yes: sleep-headphones,1,,draft-pending-validation,
overthinking before bed,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-stop-overthinking-at-night/,How to Stop Overthinking at Night,yes: sleep-headphones,1,,draft-pending-validation,
how to stop overthinking before sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-stop-overthinking-at-night/,How to Stop Overthinking at Night,yes: sleep-headphones,1,,draft-pending-validation,
can't switch off at night,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cant-switch-off-at-night/,Can't Switch Off at Night? Why Your Brain Won't Shut Down and What Helps,yes: white-noise,2,,draft-pending-validation,
brain won't switch off at night,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cant-switch-off-at-night/,Can't Switch Off at Night? Why Your Brain Won't Shut Down and What Helps,yes: white-noise,2,,draft-pending-validation,
can't switch my mind off to sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cant-switch-off-at-night/,Can't Switch Off at Night? Why Your Brain Won't Shut Down and What Helps,yes: white-noise,2,,draft-pending-validation,
mind won't shut off,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cant-switch-off-at-night/,Can't Switch Off at Night? Why Your Brain Won't Shut Down and What Helps,yes: white-noise,2,,draft-pending-validation,
how to calm your mind before bed,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-calm-your-mind-before-bed/,How to Calm Your Mind Before Bed: A Simple Evening Approach,yes: sleep-headphones; weighted-blanket,1,,draft-pending-validation,
how to relax your mind before sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-calm-your-mind-before-bed/,How to Calm Your Mind Before Bed: A Simple Evening Approach,yes: sleep-headphones; weighted-blanket,1,,draft-pending-validation,
calm mind before sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-calm-your-mind-before-bed/,How to Calm Your Mind Before Bed: A Simple Evening Approach,yes: sleep-headphones; weighted-blanket,1,,draft-pending-validation,
how to quiet your mind before bed,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/how-to-calm-your-mind-before-bed/,How to Calm Your Mind Before Bed: A Simple Evening Approach,yes: sleep-headphones; weighted-blanket,1,,draft-pending-validation,
anxiety at night,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/anxiety-at-night/,Anxiety at Night: Why Worries Feel Worse at Bedtime,no,1,,draft-pending-validation,
worrying at bedtime,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/anxiety-at-night/,Anxiety at Night: Why Worries Feel Worse at Bedtime,no,1,,draft-pending-validation,
night time anxiety,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/anxiety-at-night/,Anxiety at Night: Why Worries Feel Worse at Bedtime,no,1,,draft-pending-validation,
anxiety before bed,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/anxiety-at-night/,Anxiety at Night: Why Worries Feel Worse at Bedtime,no,1,,draft-pending-validation,
why is anxiety worse at night,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/anxiety-at-night/,Anxiety at Night: Why Worries Feel Worse at Bedtime,no,1,,draft-pending-validation,
worry list before bed,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/worry-list-before-bed/,Writing a Worry List Before Bed: How 'Constructive Worry' Works,no,3,,draft-pending-validation,
constructive worry,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/worry-list-before-bed/,Writing a Worry List Before Bed: How 'Constructive Worry' Works,no,3,,draft-pending-validation,
worry journal before bed,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/worry-list-before-bed/,Writing a Worry List Before Bed: How 'Constructive Worry' Works,no,3,,draft-pending-validation,
writing down worries before sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/worry-list-before-bed/,Writing a Worry List Before Bed: How 'Constructive Worry' Works,no,3,,draft-pending-validation,
brain dump before bed,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/worry-list-before-bed/,Writing a Worry List Before Bed: How 'Constructive Worry' Works,no,3,,draft-pending-validation,
sleep anxiety,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sleep-anxiety/,Sleep Anxiety: When Worrying About Sleep Is What Keeps You Awake,no,2,,draft-pending-validation,
anxiety about not sleeping,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sleep-anxiety/,Sleep Anxiety: When Worrying About Sleep Is What Keeps You Awake,no,2,,draft-pending-validation,
fear of not sleeping,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sleep-anxiety/,Sleep Anxiety: When Worrying About Sleep Is What Keeps You Awake,no,2,,draft-pending-validation,
scared to go to sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sleep-anxiety/,Sleep Anxiety: When Worrying About Sleep Is What Keeps You Awake,no,2,,draft-pending-validation,
sleep performance anxiety,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sleep-anxiety/,Sleep Anxiety: When Worrying About Sleep Is What Keeps You Awake,no,2,,draft-pending-validation,
cognitive shuffling,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cognitive-shuffling/,Cognitive Shuffling: A Simple Technique for Quieting Your Thoughts at Bedtime,no,3,,draft-pending-validation,
cognitive shuffle sleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cognitive-shuffling/,Cognitive Shuffling: A Simple Technique for Quieting Your Thoughts at Bedtime,no,3,,draft-pending-validation,
cognitive shuffling technique,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cognitive-shuffling/,Cognitive Shuffling: A Simple Technique for Quieting Your Thoughts at Bedtime,no,3,,draft-pending-validation,
word game to fall asleep,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/cognitive-shuffling/,Cognitive Shuffling: A Simple Technique for Quieting Your Thoughts at Bedtime,no,3,,draft-pending-validation,
can't sleep on sunday night,primary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sunday-night-insomnia/,Why You Can't Sleep on Sunday Night (and How to Fix It),no,3,,draft-pending-validation,
sunday night insomnia,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sunday-night-insomnia/,Why You Can't Sleep on Sunday Night (and How to Fix It),no,3,,draft-pending-validation,
sunday night anxiety,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sunday-night-insomnia/,Why You Can't Sleep on Sunday Night (and How to Fix It),no,3,,draft-pending-validation,
why can't I sleep on a sunday,secondary,,,,,,informational,quiet-the-mind,/quiet-the-mind/sunday-night-insomnia/,Why You Can't Sleep on Sunday Night (and How to Fix It),no,3,,draft-pending-validation,
how to fall asleep faster,primary,,,,,,informational,falling-asleep,/falling-asleep/how-to-fall-asleep-faster/,How to Fall Asleep Faster: What Actually Helps,yes: sleep-mask; white-noise,1,,draft-pending-validation,
how to fall asleep fast,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-fall-asleep-faster/,How to Fall Asleep Faster: What Actually Helps,yes: sleep-mask; white-noise,1,,draft-pending-validation,
how to fall asleep quickly,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-fall-asleep-faster/,How to Fall Asleep Faster: What Actually Helps,yes: sleep-mask; white-noise,1,,draft-pending-validation,
ways to fall asleep faster,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-fall-asleep-faster/,How to Fall Asleep Faster: What Actually Helps,yes: sleep-mask; white-noise,1,,draft-pending-validation,
fall asleep faster,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-fall-asleep-faster/,How to Fall Asleep Faster: What Actually Helps,yes: sleep-mask; white-noise,1,,draft-pending-validation,
difficulty falling asleep,primary,,,,,,informational,falling-asleep,/falling-asleep/difficulty-falling-asleep/,Difficulty Falling Asleep: Common Causes and What Helps,no,1,,draft-pending-validation,
trouble falling asleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/difficulty-falling-asleep/,Difficulty Falling Asleep: Common Causes and What Helps,no,1,,draft-pending-validation,
why can't I fall asleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/difficulty-falling-asleep/,Difficulty Falling Asleep: Common Causes and What Helps,no,1,,draft-pending-validation,
taking a long time to fall asleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/difficulty-falling-asleep/,Difficulty Falling Asleep: Common Causes and What Helps,no,1,,draft-pending-validation,
sleep onset insomnia,secondary,,,,,,informational,falling-asleep,/falling-asleep/difficulty-falling-asleep/,Difficulty Falling Asleep: Common Causes and What Helps,no,1,,draft-pending-validation,
bedtime routine for adults,primary,,,,,,informational,falling-asleep,/falling-asleep/bedtime-routine-for-adults/,A Bedtime Routine for Adults That You'll Actually Keep,yes: sleep-mask; weighted-blanket,1,,draft-pending-validation,
adult bedtime routine,secondary,,,,,,informational,falling-asleep,/falling-asleep/bedtime-routine-for-adults/,A Bedtime Routine for Adults That You'll Actually Keep,yes: sleep-mask; weighted-blanket,1,,draft-pending-validation,
night routine for better sleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/bedtime-routine-for-adults/,A Bedtime Routine for Adults That You'll Actually Keep,yes: sleep-mask; weighted-blanket,1,,draft-pending-validation,
evening routine for sleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/bedtime-routine-for-adults/,A Bedtime Routine for Adults That You'll Actually Keep,yes: sleep-mask; weighted-blanket,1,,draft-pending-validation,
wind down routine,secondary,,,,,,informational,falling-asleep,/falling-asleep/bedtime-routine-for-adults/,A Bedtime Routine for Adults That You'll Actually Keep,yes: sleep-mask; weighted-blanket,1,,draft-pending-validation,
things to do before bed,primary,,,,,,informational,falling-asleep,/falling-asleep/things-to-do-before-bed/,15 Things to Do Before Bed for a Calmer Night,yes: sleep-headphones,2,,draft-pending-validation,
what to do before bed,secondary,,,,,,informational,falling-asleep,/falling-asleep/things-to-do-before-bed/,15 Things to Do Before Bed for a Calmer Night,yes: sleep-headphones,2,,draft-pending-validation,
relaxing things to do before bed,secondary,,,,,,informational,falling-asleep,/falling-asleep/things-to-do-before-bed/,15 Things to Do Before Bed for a Calmer Night,yes: sleep-headphones,2,,draft-pending-validation,
things to do before sleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/things-to-do-before-bed/,15 Things to Do Before Bed for a Calmer Night,yes: sleep-headphones,2,,draft-pending-validation,
how long should it take to fall asleep,primary,,,,,,informational,falling-asleep,/falling-asleep/how-long-should-it-take-to-fall-asleep/,How Long Should It Take to Fall Asleep?,no,2,,draft-pending-validation,
how long does it take to fall asleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-long-should-it-take-to-fall-asleep/,How Long Should It Take to Fall Asleep?,no,2,,draft-pending-validation,
normal time to fall asleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-long-should-it-take-to-fall-asleep/,How Long Should It Take to Fall Asleep?,no,2,,draft-pending-validation,
sleep latency,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-long-should-it-take-to-fall-asleep/,How Long Should It Take to Fall Asleep?,no,2,,draft-pending-validation,
military sleep method,primary,,,,,,informational,falling-asleep,/falling-asleep/military-sleep-method/,The Military Sleep Method: Does It Really Work?,no,2,,draft-pending-validation,
military method to fall asleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/military-sleep-method/,The Military Sleep Method: Does It Really Work?,no,2,,draft-pending-validation,
fall asleep in 2 minutes,secondary,,,,,,informational,falling-asleep,/falling-asleep/military-sleep-method/,The Military Sleep Method: Does It Really Work?,no,2,,draft-pending-validation,
army sleep technique,secondary,,,,,,informational,falling-asleep,/falling-asleep/military-sleep-method/,The Military Sleep Method: Does It Really Work?,no,2,,draft-pending-validation,
what to do when you can't sleep,primary,,,,,,informational,falling-asleep,/falling-asleep/what-to-do-when-you-cant-sleep/,What to Do When You Can't Sleep: A Calm Step-by-Step Plan,yes: sleep-headphones,1,,draft-pending-validation,
can't sleep what to do,secondary,,,,,,informational,falling-asleep,/falling-asleep/what-to-do-when-you-cant-sleep/,What to Do When You Can't Sleep: A Calm Step-by-Step Plan,yes: sleep-headphones,1,,draft-pending-validation,
what to do if you can't sleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/what-to-do-when-you-cant-sleep/,What to Do When You Can't Sleep: A Calm Step-by-Step Plan,yes: sleep-headphones,1,,draft-pending-validation,
things to do when you can't sleep at night,secondary,,,,,,informational,falling-asleep,/falling-asleep/what-to-do-when-you-cant-sleep/,What to Do When You Can't Sleep: A Calm Step-by-Step Plan,yes: sleep-headphones,1,,draft-pending-validation,
how to sleep when not tired,primary,,,,,,informational,falling-asleep,/falling-asleep/how-to-sleep-when-not-tired/,How to Sleep When You're Not Tired,no,3,,draft-pending-validation,
can't sleep not tired,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-sleep-when-not-tired/,How to Sleep When You're Not Tired,no,3,,draft-pending-validation,
how to fall asleep when you're not tired,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-sleep-when-not-tired/,How to Sleep When You're Not Tired,no,3,,draft-pending-validation,
not tired at bedtime,secondary,,,,,,informational,falling-asleep,/falling-asleep/how-to-sleep-when-not-tired/,How to Sleep When You're Not Tired,no,3,,draft-pending-validation,
can't sleep before a big day,primary,,,,,,informational,falling-asleep,/falling-asleep/cant-sleep-before-a-big-day/,Can't Sleep the Night Before an Important Day? Here's What Helps,yes: sleep-mask,3,,draft-pending-validation,
can't sleep night before exam,secondary,,,,,,informational,falling-asleep,/falling-asleep/cant-sleep-before-a-big-day/,Can't Sleep the Night Before an Important Day? Here's What Helps,yes: sleep-mask,3,,draft-pending-validation,
can't sleep before interview,secondary,,,,,,informational,falling-asleep,/falling-asleep/cant-sleep-before-a-big-day/,Can't Sleep the Night Before an Important Day? Here's What Helps,yes: sleep-mask,3,,draft-pending-validation,
can't sleep before early flight,secondary,,,,,,informational,falling-asleep,/falling-asleep/cant-sleep-before-a-big-day/,Can't Sleep the Night Before an Important Day? Here's What Helps,yes: sleep-mask,3,,draft-pending-validation,
nervous can't sleep,secondary,,,,,,informational,falling-asleep,/falling-asleep/cant-sleep-before-a-big-day/,Can't Sleep the Night Before an Important Day? Here's What Helps,yes: sleep-mask,3,,draft-pending-validation,
waking up at 3am,primary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-at-3am/,Waking Up at 3am: Why It Happens and How to Get Back to Sleep,yes: sleep-mask; earplugs,1,,draft-pending-validation,
why do I wake up at 3am,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-at-3am/,Waking Up at 3am: Why It Happens and How to Get Back to Sleep,yes: sleep-mask; earplugs,1,,draft-pending-validation,
waking at 3am every night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-at-3am/,Waking Up at 3am: Why It Happens and How to Get Back to Sleep,yes: sleep-mask; earplugs,1,,draft-pending-validation,
wake up at 3am can't get back to sleep,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-at-3am/,Waking Up at 3am: Why It Happens and How to Get Back to Sleep,yes: sleep-mask; earplugs,1,,draft-pending-validation,
3am waking,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-at-3am/,Waking Up at 3am: Why It Happens and How to Get Back to Sleep,yes: sleep-mask; earplugs,1,,draft-pending-validation,
waking up in the middle of the night,primary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-in-the-middle-of-the-night/,Waking Up in the Middle of the Night: Causes and What to Do,yes: earplugs; white-noise,1,,draft-pending-validation,
why do I keep waking up at night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-in-the-middle-of-the-night/,Waking Up in the Middle of the Night: Causes and What to Do,yes: earplugs; white-noise,1,,draft-pending-validation,
waking up during the night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-in-the-middle-of-the-night/,Waking Up in the Middle of the Night: Causes and What to Do,yes: earplugs; white-noise,1,,draft-pending-validation,
waking up every night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-in-the-middle-of-the-night/,Waking Up in the Middle of the Night: Causes and What to Do,yes: earplugs; white-noise,1,,draft-pending-validation,
sleep maintenance insomnia,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-in-the-middle-of-the-night/,Waking Up in the Middle of the Night: Causes and What to Do,yes: earplugs; white-noise,1,,draft-pending-validation,
can't get back to sleep,primary,,,,,,informational,waking-at-night,/waking-at-night/cant-get-back-to-sleep/,Can't Get Back to Sleep? What to Do When You Wake in the Night,yes: sleep-headphones,1,,draft-pending-validation,
how to get back to sleep,secondary,,,,,,informational,waking-at-night,/waking-at-night/cant-get-back-to-sleep/,Can't Get Back to Sleep? What to Do When You Wake in the Night,yes: sleep-headphones,1,,draft-pending-validation,
how to fall back asleep,secondary,,,,,,informational,waking-at-night,/waking-at-night/cant-get-back-to-sleep/,Can't Get Back to Sleep? What to Do When You Wake in the Night,yes: sleep-headphones,1,,draft-pending-validation,
woke up and can't get back to sleep,secondary,,,,,,informational,waking-at-night,/waking-at-night/cant-get-back-to-sleep/,Can't Get Back to Sleep? What to Do When You Wake in the Night,yes: sleep-headphones,1,,draft-pending-validation,
waking up too early,primary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-too-early/,Waking Up Too Early and Can't Get Back to Sleep,yes: sleep-mask; blackout-curtains,2,,draft-pending-validation,
waking up too early in the morning,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-too-early/,Waking Up Too Early and Can't Get Back to Sleep,yes: sleep-mask; blackout-curtains,2,,draft-pending-validation,
early morning waking,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-too-early/,Waking Up Too Early and Can't Get Back to Sleep,yes: sleep-mask; blackout-curtains,2,,draft-pending-validation,
why do I wake up so early,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-too-early/,Waking Up Too Early and Can't Get Back to Sleep,yes: sleep-mask; blackout-curtains,2,,draft-pending-validation,
waking at 5am,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-too-early/,Waking Up Too Early and Can't Get Back to Sleep,yes: sleep-mask; blackout-curtains,2,,draft-pending-validation,
why do I wake up at the same time every night,primary,,,,,,informational,waking-at-night,/waking-at-night/why-do-i-wake-up-at-the-same-time-every-night/,Why Do I Wake Up at the Same Time Every Night?,no,3,,draft-pending-validation,
waking up at the same time every night,secondary,,,,,,informational,waking-at-night,/waking-at-night/why-do-i-wake-up-at-the-same-time-every-night/,Why Do I Wake Up at the Same Time Every Night?,no,3,,draft-pending-validation,
wake up same time each night,secondary,,,,,,informational,waking-at-night,/waking-at-night/why-do-i-wake-up-at-the-same-time-every-night/,Why Do I Wake Up at the Same Time Every Night?,no,3,,draft-pending-validation,
waking at 2am every night,secondary,,,,,,informational,waking-at-night,/waking-at-night/why-do-i-wake-up-at-the-same-time-every-night/,Why Do I Wake Up at the Same Time Every Night?,no,3,,draft-pending-validation,
waking up with anxiety,primary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-with-anxiety/,Waking Up With Anxiety in the Night: Why It Happens and How to Settle,no,2,,draft-pending-validation,
waking up anxious in the middle of the night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-with-anxiety/,Waking Up With Anxiety in the Night: Why It Happens and How to Settle,no,2,,draft-pending-validation,
waking up with a racing heart,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-with-anxiety/,Waking Up With Anxiety in the Night: Why It Happens and How to Settle,no,2,,draft-pending-validation,
night time panic waking,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-with-anxiety/,Waking Up With Anxiety in the Night: Why It Happens and How to Settle,no,2,,draft-pending-validation,
should I get up if I can't sleep,primary,,,,,,informational,waking-at-night,/waking-at-night/should-i-get-up-if-i-cant-sleep/,Should You Get Up If You Can't Sleep? The 20-Minute Rule Explained,no,2,,draft-pending-validation,
get out of bed if you can't sleep,secondary,,,,,,informational,waking-at-night,/waking-at-night/should-i-get-up-if-i-cant-sleep/,Should You Get Up If You Can't Sleep? The 20-Minute Rule Explained,no,2,,draft-pending-validation,
20 minute rule sleep,secondary,,,,,,informational,waking-at-night,/waking-at-night/should-i-get-up-if-i-cant-sleep/,Should You Get Up If You Can't Sleep? The 20-Minute Rule Explained,no,2,,draft-pending-validation,
stimulus control,secondary,,,,,,informational,waking-at-night,/waking-at-night/should-i-get-up-if-i-cant-sleep/,Should You Get Up If You Can't Sleep? The 20-Minute Rule Explained,no,2,,draft-pending-validation,
stay in bed or get up,secondary,,,,,,informational,waking-at-night,/waking-at-night/should-i-get-up-if-i-cant-sleep/,Should You Get Up If You Can't Sleep? The 20-Minute Rule Explained,no,2,,draft-pending-validation,
