id,asin,verifiedTitle,verifiedOn,notes
contoured-sleep-mask,B07PRG2CQY,"Manta Sleep Mask - 100% Light Blocking Eye Mask, Zero Eye Pressure, Comfortable & Adjustable Sleeping Mask for Women Men, Perfect Blindfold for Sleep/Travel/Nap/Shift Work",2026-09-25,"Matches brand example (Manta). In stock on amazon.co.uk. SiteStripe Full Link generated under kleantouch-21."
silk-sleep-mask,B0C7GPGR19,"Aosun Silk Sleep Mask, 22-Momme 100% Pure Mulberry Silk Light-Blocking Eye Mask with Adjustable Strap, Hypoallergenic, Gifts for Women and Men (Black)",2026-09-25,"Mulberry silk flat mask (brand example is 'various brands'). In stock. SiteStripe Full Link generated under kleantouch-21."
weighted-sleep-mask,B09DXXWVL4,"Umisleep Weighted Sleep Mask Women Men, Relieve Stress, Headache,120g",2026-09-25,"Brand example changed from Gravity to Umisleep: no Gravity-branded weighted mask appeared in amazon.co.uk results. In stock. SiteStripe Full Link generated under kleantouch-21."
soft-foam-earplugs,B0B785VC19,"Mack's Ultra Soft Foam Earplugs, 100 Pair Bag - 33dB Highest NRR, Comfortable Ear Plugs for Sleeping, Snoring, Travel, Concerts, Studying and Loud Noise | Made in USA, Beige",2026-09-25,"Matches brand example (Mack's Ultra Soft). In stock, dispatched by Amazon. SiteStripe Full Link generated under kleantouch-21."
reusable-silicone-earplugs,B0D3V6TR98,"Loop Quiet 2 Ear Plugs - Ultra-Comfy Reusable Hearing Protection for Sleep",2026-09-25,"Current Loop Quiet generation (Quiet 2). In stock. SiteStripe Full Link generated under kleantouch-21."
mouldable-wax-earplugs,B01LHL84ZI,"Quies Boules Natural Wax Earplugs 8 Pairs of Earplugs - Pack of 2",2026-09-25,"Matches brand example (Quies natural wax). In stock. SiteStripe Full Link generated under kleantouch-21."
fan-based-white-noise-machine,B07RJTW7DB,"Marpac Dohm White Noise Sound Machine with UK Plug (White/Gray)",2026-09-25,"Matches brand example (Marpac/Yogasleep Dohm), UK plug version. Listing shows Add to basket with a delivery date, dispatched from Amazon, sold by Marpac UK; no explicit 'In stock' label on the page. The Dohm Classic listing B00TQ2MU2O was temporarily out of stock, so not used. SiteStripe Full Link generated under kleantouch-21."
digital-sound-machine,B019GAFJEG,"LectroFan - White Noise Machine and Non-Looping Fan Sounds with Sleep Timer (Classic, White)",2026-09-25,"Matches brand example (LectroFan Classic). In stock, dispatched by Amazon. SiteStripe Full Link generated under kleantouch-21."
portable-sound-machine,B01D50RZQI,"Yogasleep Rohm Portable White Noise Sound Machine, 3 Soothing Natural Sounds with Volume Control, Sleep Therapy For Adults, Kids & Baby, Noise Cancelling for Office Privacy & Meditation, Registry Gift",2026-09-25,"Matches brand example (Yogasleep Rohm). In stock, dispatched by Amazon. SiteStripe Full Link generated under kleantouch-21."
headband-sleep-headphones,B0CLGTSMCF,"MUSICOZY Sleep Headphones Headband Cooling Headphones for Sleeping & Sport",2026-09-25,"Matches brand example (Musicozy), Bluetooth headband. In stock, dispatched by Amazon. SiteStripe Full Link generated under kleantouch-21."
sleep-earbuds,B0CRGR2TS5,"soundcore Sleep A20 by Anker Sleep Earbuds, Noise Blocking Sleep Headphones, Small Design for Side Sleepers, 80H Playtime, Stream Content via Bluetooth 5.3, Personal Alarm",2026-09-25,"Matches brand example (Anker Soundcore Sleep series). In stock, sold by AnkerDirect UK. SiteStripe Full Link generated under kleantouch-21."
memory-foam-side-sleeper-pillow,B0D9YWWT26,"Panda® ActiveFoam Hybrid Bamboo Pillow - Soft, Breathable Bamboo Cover, Orthopaedic Grade Memory Foam, 10-Year Guarantee (x1 Hybrid Pillow) 70 x 40 x 13 cm",2026-09-25,"Matches brand example (Panda, UK brand). Note: this listing is a fixed-height memory foam pillow, not the adjustable-layer type mentioned in the description. In stock, sold by Panda. SiteStripe Full Link generated under kleantouch-21."
gel-cooling-pillow,B08YZ7FM5Z,"Cosi Home® Luxury Memory Foam Pillow with Bamboo Pillow Cover, Cooling Gel Filling & Adjustable Height - Breathable & Machine Washable for Side, Back & Front Sleepers (Size: 71 x 45cm)",2026-09-25,"Gel-filled memory foam cooling pillow (brand example is 'various'). In stock, dispatched by Amazon. SiteStripe Full Link generated under kleantouch-21."
thermal-blackout-curtains,B00VWMHFZ8,"Deconovo Dark Grey Curtains Eyelet Thermal Blackout Curtains 46""x54"" 1 Pair",2026-09-25,"Eyelet thermal blackout curtains; listing has multiple size/colour variants, ASIN is the 46x54 dark grey parent. In stock, dispatched by Amazon. SiteStripe Full Link generated under kleantouch-21."
blackout-blind-no-drill,B0D5721NNQ,"Bemece Portable 100% Blackout Blind, DIY Cut,No Drill, Fit Any Size-200*145",2026-09-25,"Portable no-drill, cut-to-size blackout blind. In stock. SiteStripe Full Link generated under kleantouch-21."
weighted-blanket,B0CW99YJHZ,"Sivio Weighted Blanket 7kg Grey 150x200cm",2026-09-25,"Glass-bead fill confirmed in listing bullets. Brand example changed to Sivio (Mela/Gravity/Silentnight not chosen from results). In stock, sold by Sivio. SiteStripe Full Link generated under kleantouch-21."
cotton-percale-bedding,B08HZFC7SN,"Appletree Cassia 180 Thread Count 100% Cotton Percale Duvet Cover Set, Khaki, Super King",2026-09-25,"100% cotton percale duvet cover set; ASIN is the Super King khaki variant (other sizes/colours selectable on the page). In stock, sold by Amazon. SiteStripe Full Link generated under kleantouch-21."
